: capital-common-countries 
Афіны	Грэцыя	Багдад	Ірак
Афіны	Грэцыя	Бангкок	Тайланд
Афіны	Грэцыя	Пекін	Кітай
Афіны	Грэцыя	Берлін	Германія
Афіны	Грэцыя	Берн	Швейцарыя
Афіны	Грэцыя	Каір	Егіпет
Афіны	Грэцыя	Канбера	Аўстралія
Афіны	Грэцыя	Ханой	В'етнам
Афіны	Грэцыя	Гавана	Куба
Афіны	Грэцыя	Хельсінкі	Фінляндыя
Афіны	Грэцыя	Ісламабад	Пакістан
Афіны	Грэцыя	Кабул	Афганістан
Афіны	Грэцыя	Лондан	Англія
Афіны	Грэцыя	Мадрыд	Іспанія
Афіны	Грэцыя	Масква	Расія
Афіны	Грэцыя	Осла	Нарвегія
Афіны	Грэцыя	Атава	Канада
Афіны	Грэцыя	Парыж	Францыя
Афіны	Грэцыя	Рым	Італія
Афіны	Грэцыя	Стакгольм	Швецыя
Афіны	Грэцыя	Тэгеран	Іран
Афіны	Грэцыя	Токіа	Японія
Багдад	Ірак	Бангкок	Тайланд
Багдад	Ірак	Пекін	Кітай
Багдад	Ірак	Берлін	Германія
Багдад	Ірак	Берн	Швейцарыя
Багдад	Ірак	Каір	Егіпет
Багдад	Ірак	Канбера	Аўстралія
Багдад	Ірак	Ханой	В'етнам
Багдад	Ірак	Гавана	Куба
Багдад	Ірак	Хельсінкі	Фінляндыя
Багдад	Ірак	Ісламабад	Пакістан
Багдад	Ірак	Кабул	Афганістан
Багдад	Ірак	Лондан	Англія
Багдад	Ірак	Мадрыд	Іспанія
Багдад	Ірак	Масква	Расія
Багдад	Ірак	Осла	Нарвегія
Багдад	Ірак	Атава	Канада
Багдад	Ірак	Парыж	Францыя
Багдад	Ірак	Рым	Італія
Багдад	Ірак	Стакгольм	Швецыя
Багдад	Ірак	Тэгеран	Іран
Багдад	Ірак	Токіа	Японія
Багдад	Ірак	Афіны	Грэцыя
Бангкок	Тайланд	Пекін	Кітай
Бангкок	Тайланд	Берлін	Германія
Бангкок	Тайланд	Берн	Швейцарыя
Бангкок	Тайланд	Каір	Егіпет
Бангкок	Тайланд	Канбера	Аўстралія
Бангкок	Тайланд	Ханой	В'етнам
Бангкок	Тайланд	Гавана	Куба
Бангкок	Тайланд	Хельсінкі	Фінляндыя
Бангкок	Тайланд	Ісламабад	Пакістан
Бангкок	Тайланд	Кабул	Афганістан
Бангкок	Тайланд	Лондан	Англія
Бангкок	Тайланд	Мадрыд	Іспанія
Бангкок	Тайланд	Масква	Расія
Бангкок	Тайланд	Осла	Нарвегія
Бангкок	Тайланд	Атава	Канада
Бангкок	Тайланд	Парыж	Францыя
Бангкок	Тайланд	Рым	Італія
Бангкок	Тайланд	Стакгольм	Швецыя
Бангкок	Тайланд	Тэгеран	Іран
Бангкок	Тайланд	Токіа	Японія
Бангкок	Тайланд	Афіны	Грэцыя
Бангкок	Тайланд	Багдад	Ірак
Пекін	Кітай	Берлін	Германія
Пекін	Кітай	Берн	Швейцарыя
Пекін	Кітай	Каір	Егіпет
Пекін	Кітай	Канбера	Аўстралія
Пекін	Кітай	Ханой	В'етнам
Пекін	Кітай	Гавана	Куба
Пекін	Кітай	Хельсінкі	Фінляндыя
Пекін	Кітай	Ісламабад	Пакістан
Пекін	Кітай	Кабул	Афганістан
Пекін	Кітай	Лондан	Англія
Пекін	Кітай	Мадрыд	Іспанія
Пекін	Кітай	Масква	Расія
Пекін	Кітай	Осла	Нарвегія
Пекін	Кітай	Атава	Канада
Пекін	Кітай	Парыж	Францыя
Пекін	Кітай	Рым	Італія
Пекін	Кітай	Стакгольм	Швецыя
Пекін	Кітай	Тэгеран	Іран
Пекін	Кітай	Токіа	Японія
Пекін	Кітай	Афіны	Грэцыя
Пекін	Кітай	Багдад	Ірак
Пекін	Кітай	Бангкок	Тайланд
Берлін	Германія	Берн	Швейцарыя
Берлін	Германія	Каір	Егіпет
Берлін	Германія	Канбера	Аўстралія
Берлін	Германія	Ханой	В'етнам
Берлін	Германія	Гавана	Куба
Берлін	Германія	Хельсінкі	Фінляндыя
Берлін	Германія	Ісламабад	Пакістан
Берлін	Германія	Кабул	Афганістан
Берлін	Германія	Лондан	Англія
Берлін	Германія	Мадрыд	Іспанія
Берлін	Германія	Масква	Расія
Берлін	Германія	Осла	Нарвегія
