#Word1	Word2	Score
аварыя_NOUN	бедзтва_NOUN	6.15
жнівень_NOUN	месяц_NOUN	2.85
авіяцыя_NOUN	палёт_NOUN	6.77
аўтамабіль_NOUN	гудок_NOUN	1.85
аўтамабіль_NOUN	аўтастрада_NOUN	1.23
аўтамабіль_NOUN	таксі_NOUN	4.15
аўтамабіль_NOUN	датчык_NOUN	1.62
аўтамабіль_NOUN	ровар_NOUN	1.38
аўтамабіль_NOUN	карэта_NOUN	3
аўтамабіль_NOUN	мост_NOUN	1.15
аўтамабіль_NOUN	пад'ёмнік_NOUN	2.08
аўтамабіль_NOUN	шланг_NOUN	2.15
аўтамабіль_NOUN	завод_NOUN	1.77
аўтар_NOUN	стваральнік_NOUN	9.23
аўтатранспарт_NOUN	аўтобус_NOUN	8.31
агрэсіўнасць_NOUN	варожасць_NOUN	9.08
акцёр_NOUN	спявак_NOUN	5.62
актрыса_NOUN	акцёр_NOUN	3.69
алкаголь_NOUN	брэндзі_NOUN	6.77
алкаголь_NOUN	джын_NOUN	6.38
алкаголь_NOUN	кактэйль_NOUN	5.31
алкаголь_NOUN	віскі_NOUN	6.31
алкаголь_NOUN	віно_NOUN	6.46
аналізаваць_VERB	ацэньваць_VERB	7.92
анархія_NOUN	хаос_NOUN	7.54
анатомія_NOUN	біялогія_NOUN	4.38
аргументаваць_VERB	абгрунтоўваць_VERB	8.77
аргументаваць_VERB	пацвярджаць_VERB	5.46
арыфметыка_NOUN	рытм_NOUN	0.23
армія_NOUN	легіён_NOUN	6.85
армія_NOUN	атрад_NOUN	3.77
архіепіскап_NOUN	біскуп_NOUN	6
атам_NOUN	вуглярод_NOUN	1.85
баль_NOUN	касцюм_NOUN	1.92
балада_NOUN	песня_NOUN	6.38
слоік_NOUN	бутэлька_NOUN	3.23
баскетбол_NOUN	бейсбол_NOUN	1.23
вежа_NOUN	звон_NOUN	1.08
сцягно_NOUN	губа_NOUN	0.77
вар'яцкі_ADJ	вар'ят_ADJ	9.31
бекон_NOUN	боб_NOUN	0.31
бераг_NOUN	узбярэжжа_NOUN	7.62
Біблія_NOUN	псалом_NOUN	5.54
біяграфія_NOUN	раман_NOUN	2.92
бітва_NOUN	заваёва_NOUN	4.08
боб_NOUN	кава_NOUN	2.77
бог_NOUN	д'ябал_NOUN	0.08
бог_NOUN	дух_NOUN	4.08
бог_NOUN	святар_NOUN	2.15
бог_NOUN	ахвяра_NOUN	0.46
багацце_NOUN	беднасць_NOUN	0.23
багацце_NOUN	рэпутацыя_NOUN	1.31
багацце_NOUN	слава_NOUN	3.23
хвароба_NOUN	інфекцыя_NOUN	7.5
боль_NOUN	шкода_NOUN	2.15
вялікі_ADJ	велізарны_ADJ	9.15
вялікі_ADJ	шырокі_ADJ	3.31
вялікі_ADJ	цяжкі_ADJ	2.92
брат_NOUN	сын_NOUN	0.92
брат_NOUN	чалавек_NOUN	1.54
братэрства_NOUN	дзверы_NOUN	0.08
