#Word1	Word2	Score
аварыя	бедзтва	6.15
жнівень	месяц	2.85
авіяцыя	палёт	6.77
аўтамабіль	гудок	1.85
аўтамабіль	аўтастрада	1.23
аўтамабіль	таксі	4.15
аўтамабіль	датчык	1.62
аўтамабіль	ровар	1.38
аўтамабіль	карэта	3
аўтамабіль	мост	1.15
аўтамабіль	пад'ёмнік	2.08
аўтамабіль	шланг	2.15
аўтамабіль	завод	1.77
аўтар	стваральнік	9.23
аўтатранспарт	аўтобус	8.31
агрэсіўнасць	варожасць	9.08
акцёр	спявак	5.62
актрыса	акцёр	3.69
алкаголь	брэндзі	6.77
алкаголь	джын	6.38
алкаголь	кактэйль	5.31
алкаголь	віскі	6.31
алкаголь	віно	6.46
аналізаваць	ацэньваць	7.92
анархія	хаос	7.54
анатомія	біялогія	4.38
аргументаваць	абгрунтоўваць	8.77
аргументаваць	пацвярджаць	5.46
арыфметыка	рытм	0.23
армія	легіён	6.85
армія	атрад	3.77
архіепіскап	біскуп	6
атам	вуглярод	1.85
баль	касцюм	1.92
балада	песня	6.38
слоік	бутэлька	3.23
баскетбол	бейсбол	1.23
вежа	звон	1.08
сцягно	губа	0.77
вар'яцкі	вар'ят	9.31
бекон	боб	0.31
бераг	узбярэжжа	7.62
Біблія	псалом	5.54
біяграфія	раман	2.92
бітва	заваёва	4.08
боб	кава	2.77
бог	д'ябал	0.08
бог	дух	4.08
бог	святар	2.15
бог	ахвяра	0.46
багацце	беднасць	0.23
багацце	рэпутацыя	1.31
багацце	слава	3.23
хвароба	інфекцыя	7.5
боль	шкода	2.15
вялікі	велізарны	9.15
вялікі	шырокі	3.31
вялікі	цяжкі	2.92
брат	сын	0.92
брат	чалавек	1.54
братэрства	дзверы	0.08
братэрства	бейсбол	0.69
браць	красьці	2.69
браць	атрымліваць	4.08
браць	несці	1
браць	дастаўляць	1.15
браць	завалодвалі	6.85
бервяно	драўніна	6.54
бервяно	ванна	0
брыво	вока	2.23
брушка	жывот	7.77
папера	кардон	6.62
бура	ураган	8.54
бутэрброд	абед	2.15
бутэлька	кантэйнер	2.31
хуткі	хуткасны	9.15
ванна	свавольства	0.38
